actual,predicted
5.082700562133037,5.121957
4.564596511304154,5.0554852
4.170290322326915,4.56576
7.755419927100521,7.0692344
2.374772889712044,2.34794
4.685922268651785,4.0713954
5.169092922829253,4.72266
3.924669351095242,3.93796
2.6018711146975915,2.6071215
6.144000596211613,6.037217
7.172784651016676,7.0423536
4.538045430366542,4.4338427
5.654634398774562,6.254655
3.5976067171849104,3.9456847
2.218458900356692,1.7442163
3.2268116203901305,3.1259644
7.312959266330277,7.309299
5.802749465679886,6.358969
6.017049993768001,5.624685
5.416902232553341,6.159566
7.044175209194301,6.611121
6.466778769577375,5.9227667
5.639919770875769,6.6893377
6.314786277670487,6.4776044
5.223338609691288,5.438961
2.3893684339176757,2.6706414
2.7006103587106165,3.91768
2.473436306653781,2.355541
3.12215275000609,3.4379842
3.7434332654763938,4.0887194
4.225829894841693,4.1432934
8.297635628805134,8.00663
4.910741597010209,5.3422947
5.931862312823784,6.0719805
5.751652076071887,6.044711
3.824444764045927,3.7602143
2.161541193903993,1.8140688
5.765575679206304,5.5507765
3.4798189419191203,4.184456
2.8735213156350654,2.8275971
3.3269766810049504,2.9354246
3.0844717290006725,3.3920352
6.335545146092313,6.3055353
3.491299414923433,3.443306
4.484186476475481,3.8944478
3.588441073471675,3.8009145
4.921185208733229,5.716521
5.784400157769061,5.9670105
4.411564771040721,4.342862
5.288815308904695,5.003828
4.346324059169999,4.7669287
3.26324337087401,3.3380013
5.824470791022844,5.5348406
3.007429863784927,2.0500846
6.456330028298835,5.704338
3.387710137058406,3.2728102
4.6935630292898125,4.5291657
6.2025328623687175,5.708714
3.893247183245953,3.5399728
4.639006262021142,4.7289305
4.795111127912363,4.4855394
5.63301788747126,4.9452853
5.408252451806082,6.073147
6.813353998484692,7.179393
6.404305422656053,6.2893877
6.688770788739599,6.7693353
1.6288714092029513,1.2398849
5.055910026824179,5.1742153
5.123001964753337,3.6644406
3.393765961488709,3.7046218
5.100794560780422,4.4741993
3.4658593178389827,3.7814252
5.915822314714875,6.655754
6.929011945413351,6.732939
3.9670864196478823,3.7098174
4.573219247646045,5.2125864
5.012055260626718,4.390793
6.977972418084461,7.3544126
3.551257502437913,2.550109
3.554245662117477,3.2044802
7.414892517219643,6.620217
3.381270847118208,2.87052
4.198172918517146,3.6857843
7.160581010633445,8.117611
1.261511423440365,2.765823
2.8275573537717555,2.705233
2.2806986556083317,2.9343665
2.981164965532874,2.8054197
6.641692226668493,6.836919
5.795476174682396,5.7913857
2.278090621124885,2.095632
3.134432137244385,4.1856923
4.08263751731891,5.148003
5.766084802882513,5.88828
5.895073079916029,5.5912366
5.500592190507422,4.3601513
7.975563213310332,8.137518
7.2067817981874205,6.9782987
4.56309116651592,3.6362002
8.702019741234729,8.007298
5.458079570457132,5.161105
2.3741029056312217,2.0319452
4.667717330124471,4.350829
6.141258457204668,6.3585367
2.1345147276540057,1.8241379
5.081416063648705,5.446291
5.220977679147404,4.648805
4.587199903265578,4.7244635
4.903054390801354,5.611683
2.9762263353586724,3.7654274
1.694606984910317,2.7817833
2.193849343999838,2.2564368
4.359173152467488,4.221092
